family,species,rare,Naturalised,naturalized.hybrids,vetted,Invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,dmonoecious,wind,animal,asexual,herbaceous,variable,woody,fleshy.fruit,ln.shybrids,ln.ghybrids
Acanthaceae,7872,273,109,0,426,12,4,1,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0,1.609437912,0.693147181
Achariaceae,290,0,2,0,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
Achatocarpaceae,11,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0
Acoraceae,5,0,2,0,2,0,0,0,0,1,1,1,3,1,0,0,0,1,0,1,0,0,0.5,0,0
Actinidiaceae,429,29,5,0,46,0,1,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0.5,0.693147181,0
Adoxaceae,413,2,33,1,2,4,9,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,2.302585093,0
Aextoxicaceae,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Aizoaceae,3650,14,65,2,38,1,5,3,1,1,0,0,2,1,1,1,0,1,0,1,1,1,0.5,1.791759469,1.386294361
Akaniaceae,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Alismataceae,136,6,23,0,34,4,5,0,1,1,1,0,3,1,1,1,0,1,0,1,0,0,0,1.791759469,0
Alseuosmiaceae,14,1,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,1,1,0,0
Alstroemeriaceae,284,12,3,0,15,0,5,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0.5,1.791759469,0
Altingiaceae,21,1,1,0,5,0,0,0,1,1,1,0,3,0,0,1,0,1,0,0,0,1,0,0,0
Amaranthaceae,3544,26,265,11,38,29,107,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,0.5,4.682131227,0
Amaryllidaceae,2380,73,141,14,181,10,174,20,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0.5,5.164785974,3.044522438
Amborellaceae,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,NA,0,0
Anacampserotaceae,63,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,1,0,NA,0,0
Anacardiaceae,1919,90,33,0,166,5,7,0,1,1,0,0,2,1,1,1,0,1,1,0,1,1,0.5,2.079441542,0
Anarthriaceae,12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Ancistrocladaceae,22,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Anisophylleaceae,45,13,0,0,17,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0.5,0,0
Annonaceae,2998,202,14,1,371,4,8,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,2.197224577,0
Aphanopetalaceae,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Aphloiaceae,6,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Apiaceae,6463,74,179,0,167,14,31,1,1,1,1,1,4,1,0,1,0,1,1,1,1,1,0,3.465735903,0.693147181
Apocynaceae,8651,206,92,0,294,18,60,0,1,1,1,0,3,1,0,0,0,1,1,1,1,1,0.5,4.110873864,0
Apodanthaceae,29,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0,0
Aponogetonaceae,60,14,3,0,33,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Aquifoliaceae,798,75,11,2,144,5,6,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,1.945910149,0
Araceae,4589,109,84,1,239,19,81,0,1,1,1,0,3,1,1,1,1,1,1,1,0,1,0.5,4.406719247,0
Araliaceae,1876,177,40,0,243,7,3,1,1,1,1,0,3,1,0,1,0,1,0,1,0,1,0.5,1.386294361,0.693147181
Arecaceae,2856,359,62,1,584,13,22,5,1,1,0,0,2,1,1,1,1,1,0,0,0,1,0.5,3.135494216,1.791759469
Argophyllaceae,23,0,0,0,0,0,1,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,NA,0.693147181,0
Aristolochiaceae,753,30,20,0,31,4,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0.5,0.693147181,0
Asparagaceae,3386,53,148,4,133,19,76,1,1,1,1,0,3,1,1,1,0,1,0,1,0,1,1,4.343805422,0.693147181
Asteliaceae,37,2,0,0,2,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,0,0.5,0,0
Asteraceae,52986,648,0,0,1029,212,818,42,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0,6.708084084,3.761200116
Asteropeiaceae,8,6,0,0,8,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Atherospermataceae,26,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0,0,0
Austrobaileyaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,NA,0,0
Balanopaceae,9,1,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0
Balanophoraceae,63,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0
Balsaminaceae,1144,59,11,0,76,4,2,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0.5,1.098612289,0
Barbeuiaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,NA,NA,0,0,0
Barbeyaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Basellaceae,22,0,5,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0
Bataceae,5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
Begoniaceae,1742,72,22,0,80,28,67,0,1,1,0,0,2,0,0,1,0,1,0,1,1,1,0.5,4.219507705,0
Berberidaceae,955,30,31,4,36,21,82,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,1,4.418840608,0
Berberidopsidaceae,3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0
Betulaceae,270,19,26,1,116,22,60,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,4.110873864,0
Biebersteiniaceae,5,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Bignoniaceae,1155,42,52,2,53,18,5,1,1,1,1,0,3,1,0,0,0,1,1,1,1,1,0.5,1.791759469,0.693147181
Bixaceae,29,0,3,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0
Blandfordiaceae,4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0.693147181,0
Bonnetiaceae,48,12,0,0,14,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Boraginaceae,5591,39,204,5,53,26,57,1,1,1,1,0,3,1,1,0,0,1,1,1,1,1,0.5,4.060443011,0.693147181
Boryaceae,14,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,NA,0,0
Brassicaceae,5833,98,307,5,152,47,169,2,1,1,1,1,4,1,0,0,1,1,1,1,1,1,0,5.135798437,1.098612289
Bromeliaceae,3495,149,24,0,221,3,105,8,1,1,0,0,2,1,0,0,1,1,0,1,0,1,0.5,4.663439094,2.197224577
Brunelliaceae,67,18,0,0,21,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Bruniaceae,141,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,NA,0,0
Burmanniaceae,165,2,0,0,9,0,0,0,1,1,1,0,3,1,0,1,0,1,1,1,0,0,0,0,0
Burseraceae,889,60,5,0,105,0,0,0,1,1,0,0,2,1,1,1,0,1,1,0,0,1,0.5,0,0
Butomaceae,2,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Buxaceae,142,10,6,0,17,1,0,0,1,1,1,0,3,0,1,1,0,1,1,0,0,1,0.5,0,0
Byblidaceae,7,1,0,0,6,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Cabombaceae,6,0,4,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0
Cactaceae,6499,415,89,0,1348,18,146,37,1,1,1,0,3,1,0,0,1,1,1,1,0,1,5,4.990432587,3.63758616
Calceolariaceae,305,0,4,0,0,1,14,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,1,1,NA,2.708050201,0
Calophyllaceae,261,46,1,0,70,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Calycanthaceae,13,0,3,0,0,2,0,1,0,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,0.693147181
Calyceraceae,69,1,2,0,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,0,0,0
Campanulaceae,2594,205,79,0,243,22,39,1,1,1,1,1,4,1,0,0,0,1,0,1,1,1,0.5,3.688879454,0.693147181
Campynemataceae,4,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Canellaceae,24,6,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Cannabaceae,196,4,11,0,22,4,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0.693147181,0
Cannaceae,14,0,5,1,0,5,5,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,1.791759469,0
Capparaceae,688,17,7,0,26,1,0,0,1,1,1,0,3,1,0,0,0,1,1,0,0,1,0.5,0,0
Caprifoliaceae,2230,12,100,11,28,11,71,0,1,1,1,0,3,1,0,1,0,1,0,1,0,1,0.5,4.276666119,0
Cardiopteridaceae,61,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,1,0,0,0
Caricaceae,58,3,3,0,7,1,1,0,1,1,0,0,2,0,0,1,0,1,1,0,0,1,1,0.693147181,0
Carlemanniaceae,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0.5,0,0
Caryocaraceae,26,5,0,0,7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.5,0,0
Caryophyllaceae,5616,77,213,6,110,54,90,1,1,1,1,1,4,1,1,1,0,1,0,1,1,1,0,4.510859507,0.693147181
Casuarinaceae,96,0,11,1,2,4,0,0,1,1,1,0,3,0,1,1,1,0,1,0,0,1,0,0,0
Celastraceae,2212,84,26,0,128,4,1,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,0.5,0.693147181,0
Centroplacaceae,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Cephalotaceae,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Ceratophyllaceae,5,0,3,0,3,0,0,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0
Cercidiphyllaceae,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Chloranthaceae,93,4,2,0,7,2,0,0,1,1,0,0,2,1,1,0,0,1,0,1,0,1,1,0,0
Chrysobalanaceae,557,41,4,0,60,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,0,0
Circaeasteraceae,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Cistaceae,481,8,12,0,10,4,138,9,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0,4.934473933,2.302585093
Cleomaceae,370,0,17,0,0,0,1,0,1,1,0,0,2,1,0,1,0,1,0,1,1,1,0,0.693147181,0
Clethraceae,102,14,3,0,24,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0
Clusiaceae,1311,62,12,1,104,2,1,0,1,1,1,0,3,1,0,1,0,1,1,0,0,1,0.5,0.693147181,0
Colchicaceae,292,8,3,0,21,1,3,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1.386294361,0
Columelliaceae,8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Combretaceae,974,31,18,0,47,1,1,0,1,1,0,0,2,1,0,1,0,1,1,0,1,1,0.5,0.693147181,0
Commelinaceae,794,7,49,0,34,3,3,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0.5,1.386294361,0
Connaraceae,459,7,0,0,10,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Convolvulaceae,4247,19,154,3,47,24,14,0,1,1,1,0,3,1,1,0,0,1,0,1,1,1,0.5,2.708050201,0
Coriariaceae,14,0,1,0,1,1,2,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0,1.098612289,0
Cornaceae,146,6,10,0,26,6,9,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,0.5,2.302585093,0
Corsiaceae,27,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0
Corynocarpaceae,5,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0
Costaceae,143,6,7,0,20,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0.5,0,0
Crassulaceae,2631,12,124,4,32,5,169,18,1,1,1,1,4,1,0,0,0,1,0,1,0,1,0,5.135798437,2.944438979
Crossosomataceae,10,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,0,0,0
Ctenolophonaceae,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Cucurbitaceae,1772,6,50,0,8,12,4,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,0.5,1.609437912,0
Cunoniaceae,527,51,1,0,118,0,3,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0.5,1.386294361,0
Curtisiaceae,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0
Cyclanthaceae,261,17,1,0,24,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,0
Cymodoceaceae,17,0,1,0,13,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0.5,0,0
Cynomoriaceae,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0
Cyperaceae,6021,98,341,1,658,22,317,1,1,1,1,1,4,1,1,1,1,0,0,1,0,0,0,5.762051383,0.693147181
Cyrillaceae,9,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,1,0.5,0,0
Cytinaceae,11,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0,0
Daphniphyllaceae,36,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,1,1,0,0
Dasypogonaceae,17,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Datiscaceae,3,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,1,0,0,1,0,1,0,0,0
Degeneriaceae,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Diapensiaceae,26,0,2,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,0,0.693147181,0
Dichapetalaceae,231,19,0,0,31,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,0.5,0,0
Didiereaceae,22,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
Dilleniaceae,637,17,2,0,38,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0
Dioncophyllaceae,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Dioscoreaceae,693,23,12,0,61,0,2,0,1,1,1,0,3,1,1,1,0,1,1,1,0,0,0.5,1.098612289,0
Dipentodontaceae,24,1,0,0,4,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Dipterocarpaceae,821,376,0,0,405,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
Dirachmaceae,2,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Doryanthaceae,2,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Droseraceae,186,9,10,0,133,0,10,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,2.397895273,0
Drosophyllaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Ebenaceae,797,81,10,0,186,1,0,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0.5,0,0
Ecdeiocoleaceae,3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,NA,0,0
Elaeagnaceae,139,2,10,2,7,1,5,0,1,1,1,0,3,1,1,0,1,1,0,0,0,1,0,1.791759469,0
Elaeocarpaceae,868,40,3,0,51,1,1,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0.5,0.693147181,0
Elatinaceae,67,1,7,0,15,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0,0,0
Emblingiaceae,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Ericaceae,6311,26,72,2,80,3,195,6,1,1,1,1,4,1,1,0,0,1,0,1,0,1,0.5,5.278114659,1.945910149
Eriocaulaceae,1228,32,7,0,94,0,1,0,1,1,1,0,3,0,1,1,1,0,0,1,0,0,0,0.693147181,0
Erythroxylaceae,287,9,2,0,10,0,1,0,1,1,0,0,2,NA,NA,NA,0,1,1,0,0,1,1,0.693147181,0
Escalloniaceae,156,8,4,1,13,0,12,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,0.5,2.564949357,0
Eucommiaceae,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Euphorbiaceae,6933,320,199,4,496,19,61,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,0.5,4.127134385,0
Euphroniaceae,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Eupomatiaceae,3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0
Eupteleaceae,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
Fabaceae,38622,887,0,0,2154,164,169,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0.5,5.135798437,0.693147181
Fagaceae,1087,70,35,3,275,3,216,0,0,1,1,1,3,0,1,1,1,0,0,0,0,1,0,5.379897354,0
Flagellariaceae,7,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0
Fouquieriaceae,14,8,0,0,10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Frankeniaceae,82,1,3,0,1,0,3,0,0,1,1,0,2,1,0,1,0,1,0,1,1,1,0,1.386294361,0
Garryaceae,28,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.5,0.693147181,0
Geissolomataceae,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,NA,NA,NA,0,0,0
Gelsemiaceae,26,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0
Gentianaceae,2579,57,39,0,104,4,45,0,1,1,1,1,4,1,0,1,0,1,0,1,0,1,0.5,3.828641396,0
Geraniaceae,1984,18,89,7,22,7,653,0,1,1,1,1,4,1,0,0,0,1,0,1,1,1,0,6.483107351,0
Gerrardinaceae,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0.5,0,0
Gesneriaceae,4389,142,6,0,184,2,121,14,1,1,1,0,3,1,0,1,0,1,0,1,1,1,0.5,4.804021045,2.708050201
Gisekiaceae,7,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,NA,NA,NA,NA,0,0,0
Gomortegaceae,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Goodeniaceae,583,4,2,0,6,0,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0.5,0.693147181,0
Goupiaceae,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,NA,0,0
Grossulariaceae,470,4,17,0,6,1,34,0,0,1,1,1,3,1,1,0,0,1,1,0,0,1,1,3.555348061,0
Grubbiaceae,4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Guamatelaceae,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Gunneraceae,69,1,3,0,2,1,1,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,0.5,0.693147181,0
Gyrostemonaceae,23,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,0.5,0,0
Haemodoraceae,104,0,4,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0
Halophytaceae,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
Haloragaceae,230,3,15,0,21,1,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,1,0,0,0
Hamamelidaceae,143,9,3,0,12,0,3,1,1,1,1,0,3,1,0,1,1,0,0,0,0,1,0,1.386294361,0.693147181
Hanguanaceae,10,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
Haptanthaceae,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,0,0
Heliconiaceae,209,15,6,0,17,0,4,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1.609437912,0
Helwingiaceae,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0
Hernandiaceae,85,8,0,0,13,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0
Himantandraceae,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Huaceae,6,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Humiriaceae,79,5,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Hydatellaceae,12,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0.5,1,0,0,0,0,0
Hydnoraceae,11,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0
Hydrangeaceae,366,4,23,2,6,1,21,0,0,1,1,0,2,1,1,0,0,1,0,1,0,1,0.5,3.091042453,0
Hydrocharitaceae,149,6,29,0,64,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,0.5,0,0
Hydroleaceae,31,0,4,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,0,0
Hydrostachyaceae,27,9,0,0,16,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,0,0,0
Hypericaceae,827,15,55,4,40,6,19,0,1,1,1,0,3,1,0,0,0,1,1,1,0,1,NA,2.995732274,0
Hypoxidaceae,171,2,4,0,4,1,0,1,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0.5,0,0.693147181
Icacinaceae,288,5,1,0,5,0,0,0,1,1,0,0,2,1,1,1,0,1,0,1,1,1,0.5,0,0
Iridaceae,2517,50,187,12,122,17,87,0,1,1,1,0,3,1,0,0,1,1,0,1,0,1,0,4.477336814,0
Irvingiaceae,12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.5,0,0
Iteaceae,33,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0,0,0
Ixioliriaceae,4,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0
Ixonanthaceae,47,2,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Joinvilleaceae,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
