family,species,rare,Naturalised,naturalized.hybrids,vetted,Invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,dmonoecious,wind,animal,asexual,herbaceous,variable,woody,fleshy.fruit,ln.shybrids,ln.ghybrids
Juglandaceae,185,13,20,3,37,3,18,0,1,1,1,0,3,0,1,1,1,0,1,0,0,1,0.5,2.944438979,0
Juncaceae,512,6,78,0,65,7,43,0,0,0,1,1,2,1,1,0,1,0,0,1,0,0,0,3.784189634,0
Juncaginaceae,52,0,4,0,4,1,0,0,0,1,1,1,3,0,1,1,1,0,0,1,0,0,0,0,0
Kirkiaceae,8,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0
Koeberliniaceae,2,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0
Krameriaceae,28,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,1,1,0,0,0
Lacistemataceae,26,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Lactoridaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Lamiaceae,8723,163,376,18,281,35,524,2,1,1,1,1,4,1,1,1,0,1,0,1,1,1,0.5,6.263398263,1.098612289
Lanariaceae,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,0,1,0,1,0,0,NA,0,0
Lardizabalaceae,48,0,3,1,0,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,1,1,1,0.693147181,0
Lauraceae,4513,241,16,0,329,7,1,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,0.5,0.693147181,0
Lecythidaceae,376,90,4,0,105,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,1,0.5,0,0
Lentibulariaceae,484,11,9,0,187,1,3,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,1.386294361,0
Lepidobotryaceae,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Liliaceae,804,24,34,0,64,2,24,0,1,1,1,1,4,1,0,0,0,1,1,1,0,0,0,3.218875825,0
Limeaceae,56,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Limnanthaceae,16,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Linaceae,511,5,21,0,6,3,2,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,0.5,1.098612289,0
Linderniaceae,428,4,16,0,33,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,1,0,NA,0,0
Loasaceae,449,14,4,0,16,2,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0,0.693147181,0
Loganiaceae,772,21,4,0,34,1,0,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,0,0,0
Lophiocarpaceae,8,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,0,0,NA,0,0
Lophopyxidaceae,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
Loranthaceae,1973,29,1,0,38,3,2,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0.5,1.098612289,0
Lowiaceae,18,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Lythraceae,993,32,50,0,82,7,10,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0,2.397895273,0
Magnoliaceae,306,148,16,2,208,2,19,0,1,1,1,0,3,1,0,1,0,1,1,0,0,1,0.5,2.995732274,0
Malpighiaceae,1773,24,10,0,34,4,0,0,1,1,0,0,2,1,0,1,0,1,1,0,1,1,0.5,0,0
Malvaceae,8152,249,232,6,390,22,156,3,1,1,1,1,4,1,1,1,0,1,1,1,1,1,0.5,5.056245805,1.386294361
Marantaceae,638,20,10,0,28,3,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0.5,0,0
Marcgraviaceae,183,4,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0.5,0,0
Martyniaceae,40,0,5,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0.5,0,0
Mayacaceae,8,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Melanthiaceae,190,0,9,0,2,0,6,0,0,0,1,1,2,1,1,1,0,1,1,1,0,0,0,1.945910149,0
Melastomataceae,9698,341,32,0,427,10,2,0,1,1,0,0,2,1,1,0,0,1,1,1,1,1,0.5,1.098612289,0
Meliaceae,1186,157,16,0,247,5,1,0,1,1,0,0,2,1,1,1,0,1,1,0,0,1,0.5,0.693147181,0
Melianthaceae,24,2,3,0,2,0,0,0,1,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0
Menispermaceae,931,13,7,0,20,1,0,0,1,1,1,0,3,0,1,1,0,1,0,1,1,1,0.5,0,0
Menyanthaceae,142,8,6,0,21,2,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0.5,0.693147181,0
Metteniusaceae,7,8,0,0,11,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Misodendraceae,29,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,NA,NA,NA,0,0,0
Mitrastemonaceae,4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0.5,0,0
Molluginaceae,190,1,10,0,6,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,1,0,0,0,0
Monimiaceae,430,12,0,0,18,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0,0,0
Montiaceae,188,0,9,0,0,0,2,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,0,NA,1.098612289,0
Montiniaceae,5,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0
Moraceae,1696,53,43,0,151,5,3,1,0,1,1,0,2,0,1,1,1,0,1,1,1,1,0.5,1.386294361,0.693147181
Moringaceae,41,1,2,0,3,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0
Muntingiaceae,4,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Musaceae,79,1,12,2,5,2,4,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1.609437912,0
Myodocarpaceae,15,0,1,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Myricaceae,128,4,6,0,7,1,2,0,1,1,1,0,3,0,1,1,1,0,0,0,0,1,0.5,1.098612289,0
Myristicaceae,776,160,2,0,226,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0.5,0,0
Myrothamnaceae,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Myrtaceae,6352,334,152,1,548,19,115,1,1,1,1,0,3,1,1,1,0,1,1,1,0,1,0.5,4.753590191,0.693147181
Nartheciaceae,36,0,0,0,0,0,1,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,NA,0.693147181,0
Nelumbonaceae,4,0,2,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Nepenthaceae,209,46,0,0,117,0,36,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,3.610917913,0
Neuradaceae,10,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Nitrariaceae,22,0,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,1,0,0
Nothofagaceae,36,11,2,0,37,0,7,0,1,1,1,0,3,0,0,0,0,1,0,0,0,1,NA,2.079441542,0
Nyctaginaceae,806,11,19,0,19,7,3,0,1,1,1,0,3,1,0,1,0,1,0,1,1,1,0,1.386294361,0
Nymphaeaceae,274,2,18,3,15,1,25,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,3.258096538,0
Ochnaceae,1364,14,7,0,27,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,1,1,0.5,0.693147181,0
Olacaceae,288,6,1,0,20,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,0.5,0,0
Oleaceae,765,37,74,3,86,9,23,0,1,1,1,0,3,1,0,1,0,1,0,1,1,1,0.5,3.17805383,0
Onagraceae,1485,9,179,11,37,9,195,0,1,1,1,1,4,1,0,1,1,1,1,1,0,1,0.5,5.278114659,0
Oncothecaceae,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Opiliaceae,46,2,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Orchidaceae,29152,654,50,2,1172,2,1695,229,1,1,1,1,4,1,0,0,0,1,1,1,0,1,0.5,7.436027816,5.438079309
Orobanchaceae,3538,0,58,0,0,7,66,0,1,1,1,0,3,1,0,0,0,1,1,1,1,1,0,4.204692619,0
Oxalidaceae,1222,10,56,0,17,8,1,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0,0.693147181,0
Paeoniaceae,36,1,4,0,2,0,11,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,2.48490665,0
Pandaceae,24,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0.5,0,0
Pandanaceae,1078,26,6,0,41,0,1,0,0,1,1,0,2,0,1,0,1,0,0,0,0,1,0.5,0.693147181,0
Papaveraceae,1453,8,83,1,13,8,44,0,0,1,1,1,3,1,0,0,1,0,0,1,0,1,0,3.80666249,0
Paracryphiaceae,37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
Passifloraceae,1375,26,45,3,43,7,24,0,1,1,0,0,2,1,1,1,0,1,0,1,1,1,NA,3.218875825,0
Paulowniaceae,29,0,1,0,0,0,2,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,NA,1.098612289,0
Pedaliaceae,138,0,6,0,2,1,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0
Penaeaceae,125,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Pennantiaceae,4,1,0,0,1,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0.5,0,0
Pentadiplandraceae,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
Pentaphragmataceae,40,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0
Pentaphylacaceae,634,64,1,0,74,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Penthoraceae,3,0,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0
Peridiscaceae,11,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Petermanniaceae,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0
Petrosaviaceae,4,0,0,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,0,NA,0,0
Phellinaceae,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
Philesiaceae,2,0,0,0,0,0,0,1,1,1,1,0,3,1,0,0,0,1,0,0,0,1,NA,0,0.693147181
Philydraceae,7,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Phrymaceae,364,0,17,5,0,1,11,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,0,2.48490665,0
Phyllanthaceae,2237,108,37,1,176,5,22,0,1,1,0,0,2,1,0,0,0,1,1,1,1,1,NA,3.135494216,0
Phyllonomaceae,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Physenaceae,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Phytolaccaceae,133,0,14,0,0,3,0,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,0.5,0,0
Picramniaceae,71,3,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.5,0,0
Picrodendraceae,104,5,0,0,7,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
Piperaceae,4715,112,13,0,130,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,1,1,1,0,0
Pittosporaceae,438,43,15,1,65,3,1,0,1,1,1,0,3,1,0,1,0,1,0,0,1,1,0.5,0.693147181,0
Plantaginaceae,4110,8,234,6,16,19,121,0,1,1,1,1,4,1,0,1,1,0,1,1,1,1,0,4.804021045,0
Platanaceae,10,1,4,1,2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0.693147181,0
Plocospermataceae,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Plumbaginaceae,1386,27,26,0,39,6,38,0,1,1,1,1,4,1,0,0,0,1,1,1,1,1,NA,3.663561646,0
Poaceae,13600,143,1252,20,660,159,319,140,1,1,1,1,4,1,1,1,1,0,1,1,0,1,0.5,5.768320996,4.94875989
Podostemaceae,472,55,0,0,104,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0
Polemoniaceae,922,0,37,1,4,4,27,0,0,1,1,1,3,1,0,0,0,1,0,1,1,1,0,3.33220451,0
Polygalaceae,2119,18,15,0,30,0,7,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0.5,2.079441542,0
Polygonaceae,2835,27,196,19,59,22,199,1,1,1,1,1,4,1,1,1,1,0,1,1,1,1,0,5.298317367,0.693147181
Pontederiaceae,39,0,14,0,8,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Portulacaceae,464,9,17,1,18,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0
Posidoniaceae,10,1,1,0,8,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0
Potamogetonaceae,149,4,16,2,47,1,82,0,1,1,1,1,4,1,0,0,1,0,1,1,0,0,0.5,4.418840608,0
Primulaceae,4441,19,60,2,54,7,130,0,1,1,1,1,4,1,0,0,0,1,0,1,1,1,0,4.875197323,0
Proteaceae,2924,45,38,0,57,3,3,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0.5,1.386294361,0
Putranjivaceae,221,26,0,0,30,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,0,1,NA,0,0
Quillajaceae,9,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,0,0,0
Rafflesiaceae,41,1,0,0,1,0,0,0,1,1,0,0,2,0,1,1,0,1,0,NA,NA,NA,0.5,0,0
Ranunculaceae,5177,23,162,4,80,17,186,0,1,1,1,1,4,1,1,0,1,1,1,1,1,1,0.5,5.231108617,0
Rapateaceae,97,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0.693147181,0
Resedaceae,180,0,8,0,2,2,1,0,0,1,1,0,2,1,1,0,0,1,0,1,0,1,0.5,0.693147181,0
Restionaceae,531,1,0,0,10,0,0,0,1,1,1,0,3,1,1,1,1,0,0,1,0,0,0,0,0
Rhabdodendraceae,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.5,0,0
Rhamnaceae,1854,27,27,0,62,5,39,0,1,1,1,0,3,1,1,1,0,1,1,0,0,1,0.5,3.688879454,0
Rhipogonaceae,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0
Rhizophoraceae,201,15,5,0,36,2,4,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,0.5,1.609437912,0
Roridulaceae,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Rosaceae,14722,245,630,47,408,85,2755,43,1,1,1,1,4,1,0,0,1,1,1,1,1,1,0.5,7.921535632,3.784189634
Rousseaceae,15,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0
Rubiaceae,14718,550,149,1,799,14,68,0,1,1,1,1,4,1,1,1,0,1,1,1,1,1,0.5,4.234106505,0
Ruppiaceae,8,0,1,0,5,1,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,0,0.5,0,0
Rutaceae,3535,133,45,3,158,7,34,1,1,1,1,0,3,1,0,1,0,1,1,1,0,1,0.5,3.555348061,0.693147181
Sabiaceae,259,4,0,0,12,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0
Salicaceae,2352,110,97,21,237,17,404,1,0,0,1,1,2,0,1,0,1,0,1,0,0,1,0,6.003887067,0.693147181
Salvadoraceae,29,0,3,0,1,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0,0
Santalaceae,1533,14,4,0,23,2,2,0,1,1,1,0,3,1,1,1,0,1,0,1,1,1,0.5,1.098612289,0
Sapindaceae,2851,128,63,1,243,10,30,0,1,1,1,0,3,0,1,1,0,1,1,1,0,1,0.5,3.433987204,0
Sapotaceae,1490,275,15,0,372,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.693147181,0
Sarcobataceae,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,NA,0,0
Sarcolaenaceae,74,16,0,0,27,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Sarraceniaceae,51,2,5,0,7,0,36,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,3.610917913,0
Saururaceae,9,0,3,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,0.5,0,0
Saxifragaceae,1483,7,28,4,21,0,243,2,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0,5.497168225,1.098612289
Scheuchzeriaceae,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0
Schisandraceae,96,6,1,0,6,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,0,0
Schlegeliaceae,47,1,0,0,3,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Schoepfiaceae,77,2,0,0,3,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Scrophulariaceae,3343,77,75,2,208,9,303,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,0.5,5.717027701,0
Setchellanthaceae,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Simaroubaceae,227,8,3,0,11,3,0,0,1,1,0,0,2,0,1,1,0,1,0,0,0,1,0.5,0,0
Simmondsiaceae,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Siparunaceae,67,7,0,0,8,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
Sladeniaceae,3,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Smilacaceae,295,0,5,0,0,3,0,0,1,1,1,0,3,0,1,0,0,1,1,1,0,1,1,0,0
Solanaceae,5440,74,255,7,138,25,27,0,1,1,1,0,3,1,0,1,0,1,1,1,1,1,0.5,3.33220451,0
Sphaerosepalaceae,20,7,0,0,13,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,NA,0,0
Sphenocleaceae,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Stachyuraceae,15,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0,0
Staphyleaceae,79,1,1,0,4,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0.5,0,0
Stegnospermataceae,5,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Stemonaceae,39,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0
Stemonuraceae,77,4,0,0,8,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,NA,0,0
Stilbaceae,42,0,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0
Strasburgeriaceae,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.5,0,0
Strelitziaceae,7,0,3,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0.693147181,0
Stylidiaceae,358,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,1,0,1,0,0,0.5,0,0
Styracaceae,239,17,4,0,22,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0.5,0,0
Surianaceae,8,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0
Symplocaceae,700,39,2,0,47,0,0,0,1,1,0,0,2,1,0,1,0,1,1,0,0,1,1,0,0
Talinaceae,58,0,2,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,1,NA,0,0
Tamaricaceae,196,1,13,0,17,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,0,1,0,0,0
Tapisciaceae,6,2,0,0,2,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,0.5,0,0
Tecophilaeaceae,27,1,1,0,2,0,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,0,0,0
Tetrachondraceae,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Tetramelaceae,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Tetrameristaceae,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Theaceae,556,90,3,0,183,1,7,2,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0.5,2.079441542,1.098612289
Thurniaceae,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Thymelaeaceae,1354,49,12,0,71,1,49,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,0.5,3.912023005,0
Ticodendraceae,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
Tofieldiaceae,28,0,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,1,0,1,0,0,NA,0.693147181,0
Torricelliaceae,10,4,0,0,7,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,NA,0,0
Tovariaceae,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0
Trigoniaceae,46,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0.5,0,0
Trimeniaceae,11,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0,0
Triuridaceae,55,2,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
Trochodendraceae,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0
Tropaeolaceae,150,8,5,0,8,1,8,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,0.5,2.197224577,0
Typhaceae,58,0,13,2,21,0,15,0,1,1,1,0,3,0,0,1,1,0,0,1,0,0,0,2.772588722,0
Ulmaceae,167,10,11,1,19,2,9,0,1,1,1,0,3,1,0,1,1,1,0,0,0,1,0.5,2.302585093,0
Urticaceae,2944,33,46,0,59,9,10,0,1,1,1,0,3,0,1,1,1,0,1,1,1,1,0.5,2.397895273,0
Vahliaceae,11,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0
Velloziaceae,316,1,0,0,3,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0.693147181,0
Verbenaceae,1122,19,74,8,29,17,62,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0.5,4.143134726,0
Violaceae,2138,39,38,0,56,3,220,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,0.5,5.398162702,0
Vitaceae,1648,4,36,1,12,7,5,0,1,1,1,0,3,1,1,1,0,1,0,1,1,1,1,1.791759469,0
Vivianiaceae,44,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Vochysiaceae,288,4,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Winteraceae,136,5,0,0,6,0,0,1,1,1,1,0,3,1,0,1,1,0,0,0,0,1,0.5,0,0.693147181
Xanthorrhoeaceae,1346,0,35,3,0,2,67,23,1,1,1,0,3,1,0,0,0,1,0,1,0,1,0,4.219507705,3.17805383
Xeronemataceae,2,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0
Xyridaceae,401,11,4,0,31,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0.693147181,0
Zingiberaceae,1668,29,29,0,134,4,7,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0.5,2.079441542,0
Zosteraceae,25,6,2,0,19,0,0,0,1,1,1,1,4,0,1,1,0,0,0,1,0,0,0,0,0
Zygophyllaceae,481,8,11,0,12,3,1,0,1,1,1,0,3,1,1,0,0,1,1,1,1,1,0.5,0.693147181,0