species,rare,Naturalised,naturalized.hybrids,vetted,invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,monoecious,wind,animal,asexual,herbaceous,variable,woody,woodiness,fleshy.fruit,ln.shybrids,ln.ghybrids
41,1,0,0,1,0,0,0,1,1,0,0,2,0,1,1,0,1,0,NA,NA,NA,NA,0.5,0,0
29,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,NA,NA,NA,NA,0,0,0
7,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,NA,NA,NA,NA,NA,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,NA,NA,NA,NA,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0
6021,98,341,1,658,22,317,1,1,1,1,1,4,1,1,1,1,0,0,1,0,0,1,0,5.762051383,0.693147181
2998,202,14,1,371,4,8,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,1,2.197224577,0
2924,45,38,0,57,3,3,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0.5,1.386294361,0
2856,359,62,1,584,13,22,5,1,1,0,0,2,1,1,1,1,1,0,0,0,1,1,0.5,3.135494216,1.791759469
2380,73,141,14,181,10,174,20,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0.5,5.164785974,3.044522438
2352,110,97,21,237,17,404,1,0,0,1,1,2,0,1,0,1,0,1,0,0,1,1,0,6.003887067,0.693147181
1973,29,1,0,38,3,2,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0.5,1.098612289,0
1854,27,27,0,62,5,39,0,1,1,1,0,3,1,1,1,0,1,1,0,0,1,1,0.5,3.688879454,0
1668,29,29,0,134,4,7,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0.5,2.079441542,0
1490,275,15,0,372,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0.693147181,0
1483,7,28,4,21,0,243,2,0,0,1,1,2,1,0,0,0,1,0,1,0,0,1,0,5.497168225,1.098612289
1311,62,12,1,104,2,1,0,1,1,1,0,3,1,0,1,0,1,1,0,0,1,1,0.5,0.693147181,0
1228,32,7,0,94,0,1,0,1,1,1,0,3,0,1,1,1,0,0,1,0,0,1,0,0.693147181,0
1186,157,16,0,247,5,1,0,1,1,0,0,2,1,1,1,0,1,1,0,0,1,1,0.5,0.693147181,0
1087,70,35,3,275,3,216,0,0,1,1,1,3,0,1,1,1,0,0,0,0,1,1,0,5.379897354,0
1078,26,6,0,41,0,1,0,0,1,1,0,2,0,1,0,1,0,0,0,0,1,1,0.5,0.693147181,0
889,60,5,0,105,0,0,0,1,1,0,0,2,1,1,1,0,1,1,0,0,1,1,0.5,0,0
868,40,3,0,51,1,1,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,1,0.5,0.693147181,0
821,376,0,0,405,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0
804,24,34,0,64,2,24,0,1,1,1,1,4,1,0,0,0,1,1,1,0,0,1,0,3.218875825,0
798,75,11,2,144,5,6,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,1,1.945910149,0
797,81,10,0,186,1,0,0,1,1,1,0,3,1,1,0,0,1,0,0,0,1,1,0.5,0,0
794,7,49,0,34,3,3,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,1,0.5,1.386294361,0
776,160,2,0,226,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0.5,0,0
700,39,2,0,47,0,0,0,1,1,0,0,2,1,0,1,0,1,1,0,0,1,1,1,0,0
693,23,12,0,61,0,2,0,1,1,1,0,3,1,1,1,0,1,1,1,0,0,1,0.5,1.098612289,0
688,17,7,0,26,1,0,0,1,1,1,0,3,1,0,0,0,1,1,0,0,1,1,0.5,0,0
638,20,10,0,28,3,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0.5,0,0
637,17,2,0,38,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0
634,64,1,0,74,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
557,41,4,0,60,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,1,0,0
556,90,3,0,183,1,7,2,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0.5,2.079441542,1.098612289
531,1,0,0,10,0,0,0,1,1,1,0,3,1,1,1,1,0,0,1,0,0,1,0,0,0
527,51,1,0,118,0,3,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0.5,1.386294361,0
512,6,78,0,65,7,43,0,0,0,1,1,2,1,1,0,1,0,0,1,0,0,1,0,3.784189634,0
484,11,9,0,187,1,3,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,1,0,1.386294361,0
472,55,0,0,104,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0
470,4,17,0,6,1,34,0,0,1,1,1,3,1,1,0,0,1,1,0,0,1,1,1,3.555348061,0
464,9,17,1,18,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
459,7,0,0,10,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
430,12,0,0,18,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0,0,0
429,29,5,0,46,0,1,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0.5,0.693147181,0
401,11,4,0,31,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0.693147181,0
376,90,4,0,105,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,1,1,0.5,0,0
358,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,1,0,1,0,0,1,0.5,0,0
316,1,0,0,3,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0.693147181,0
306,148,16,2,208,2,19,0,1,1,1,0,3,1,0,1,0,1,1,0,0,1,1,0.5,2.995732274,0
292,8,3,0,21,1,3,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1.386294361,0
288,6,1,0,20,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0.5,0,0
288,4,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
287,9,2,0,10,0,1,0,1,1,0,0,2,NA,NA,NA,0,1,1,0,0,1,1,1,0.693147181,0
284,12,3,0,15,0,5,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0.5,1.791759469,0
274,2,18,3,15,1,25,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,1,3.258096538,0
270,19,26,1,116,22,60,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,4.110873864,0
261,46,1,0,70,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
259,4,0,0,12,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
239,17,4,0,22,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0.5,0,0
231,19,0,0,31,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,0.5,0,0
227,8,3,0,11,3,0,0,1,1,0,0,2,0,1,1,0,1,0,0,0,1,1,0.5,0,0
221,26,0,0,30,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,0,1,1,NA,0,0
209,15,6,0,17,0,4,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1.609437912,0
201,15,5,0,36,2,4,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,0.5,1.609437912,0
196,1,13,0,17,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,0,1,1,0,0,0
190,0,9,0,2,0,6,0,0,0,1,1,2,1,1,1,0,1,1,1,0,0,1,0,1.945910149,0
188,0,9,0,0,0,2,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,0,1,NA,1.098612289,0
186,9,10,0,133,0,10,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,1,0,2.397895273,0
185,13,20,3,37,3,18,0,1,1,1,0,3,0,1,1,1,0,1,0,0,1,1,0.5,2.944438979,0
171,2,4,0,4,1,0,1,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0.5,0,0.693147181
167,10,11,1,19,2,9,0,1,1,1,0,3,1,0,1,1,1,0,0,0,1,1,0.5,2.302585093,0
165,2,0,0,9,0,0,0,1,1,1,0,3,1,0,1,0,1,1,1,0,0,1,0,0,0
156,8,4,1,13,0,12,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0.5,2.564949357,0
150,8,5,0,8,1,8,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0.5,2.197224577,0
149,6,29,0,64,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0.5,0,0
149,4,16,2,47,1,82,0,1,1,1,1,4,1,0,0,1,0,1,1,0,0,1,0.5,4.418840608,0
143,9,3,0,12,0,3,1,1,1,1,0,3,1,0,1,1,0,0,0,0,1,1,0,1.386294361,0.693147181
142,10,6,0,17,1,0,0,1,1,1,0,3,0,1,1,0,1,1,0,0,1,1,0.5,0,0
142,8,6,0,21,2,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0.5,0.693147181,0
141,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,NA,0,0
139,2,10,2,7,1,5,0,1,1,1,0,3,1,1,0,1,1,0,0,0,1,1,0,1.791759469,0
136,6,23,0,34,4,5,0,1,1,1,0,3,1,1,1,0,1,0,1,0,0,1,0,1.791759469,0
136,5,0,0,6,0,0,1,1,1,1,0,3,1,0,1,1,0,0,0,0,1,1,0.5,0,0.693147181
128,4,6,0,7,1,2,0,1,1,1,0,3,0,1,1,1,0,0,0,0,1,1,0.5,1.098612289,0
125,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
104,0,4,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
104,5,0,0,7,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
102,14,3,0,24,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0
96,0,11,1,2,4,0,0,1,1,1,0,3,0,1,1,1,0,1,0,0,1,1,0,0,0
96,6,1,0,6,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,1,0,0
85,8,0,0,13,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0
79,5,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
79,1,1,0,4,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0.5,0,0
77,2,0,0,3,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
77,4,0,0,8,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,NA,0,0
74,16,0,0,27,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
71,3,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0.5,0,0
69,1,2,0,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,1,0,0,0
69,1,3,0,2,1,1,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0.5,0.693147181,0
67,18,0,0,21,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
67,7,0,0,8,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
63,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,0,1,0,0,0
61,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,1,1,0,0,0
60,14,3,0,33,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
58,3,3,0,7,1,1,0,1,1,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0.693147181,0
58,0,13,2,21,0,15,0,1,1,1,0,3,0,0,1,1,0,0,1,0,0,1,0,2.772588722,0
56,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
55,2,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0
52,0,4,0,4,1,0,0,0,1,1,1,3,0,1,1,1,0,0,1,0,0,1,0,0,0
51,2,5,0,7,0,36,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,3.610917913,0
48,12,0,0,14,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
47,2,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
47,1,0,0,3,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
46,2,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
46,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
45,13,0,0,17,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0.5,0,0
44,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
42,0,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
41,1,2,0,3,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0
40,0,5,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0.5,0,0
40,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
39,0,14,0,8,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0
37,2,0,0,2,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,0,1,0.5,0,0
37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
36,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,1,1,1,0,0
36,0,0,0,0,0,1,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,1,NA,0.693147181,0
36,11,2,0,37,0,7,0,1,1,1,0,3,0,0,0,0,1,0,0,0,1,1,NA,2.079441542,0
33,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0,0,0
31,0,4,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
29,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,1,0,0
29,0,1,0,0,0,2,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,1,NA,1.098612289,0
29,0,3,0,1,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0
28,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0.5,0.693147181,0
28,0,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,1,0,1,0,0,1,NA,0.693147181,0
27,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0
27,9,0,0,16,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0,0,0
27,1,1,0,2,0,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0,0,0
26,5,0,0,7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
26,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
25,6,2,0,19,0,0,0,1,1,1,1,4,0,1,1,0,0,0,1,0,0,1,0,0,0
24,6,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
24,1,0,0,4,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
24,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0.5,0,0
23,0,0,0,0,0,1,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,NA,0.693147181,0
23,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,0.5,0,0
22,0,5,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
22,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
21,1,1,0,5,0,0,0,1,1,1,0,3,0,0,1,0,1,0,0,0,1,1,0,0,0
20,7,0,0,13,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,0,0
18,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
17,0,1,0,13,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0.5,0,0
17,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
16,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
15,0,1,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
15,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
15,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,1,0,0
14,1,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,1,1,1,0,0
14,0,5,1,0,5,5,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1.791759469,0
14,0,1,0,1,1,2,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0,1.098612289,0
14,8,0,0,10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
13,0,3,0,0,2,0,1,0,1,1,0,2,1,0,0,0,1,1,0,0,1,1,0,0,0.693147181
12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0.5,1,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,1,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0
11,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
10,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
10,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
10,1,4,1,2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0.693147181,0
10,1,1,0,8,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0
10,4,0,0,7,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,NA,0,0
9,1,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0
9,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,1,1,0.5,0,0
9,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0
9,0,3,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0.5,0,0
8,6,0,0,8,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
8,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
8,0,1,0,5,1,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,0,1,0.5,0,0
8,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
7,1,0,0,6,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
7,8,0,0,11,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
7,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
6,0,4,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
6,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,1,0,0
6,2,0,0,2,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0.5,0,0
6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,2,0,2,0,0,0,0,1,1,1,3,1,0,0,0,1,0,1,0,0,1,0.5,0,0
5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
