species,rare,Naturalised,naturalized.hybrids,vetted,invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,monoecious,wind,animal,asexual,herbaceous,variable,woody,woodiness,fleshy.fruit,ln.shybrids,ln.ghybrids
5,0,3,0,3,0,0,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0
5,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
5,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.693147181,0
4,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0.5,0,0
4,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
4,0,2,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,1,0,0,1,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0.5,0,0
4,0,0,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,1,NA,0,0
3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,NA,0,0
3,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
2,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0.5,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,0,0
2,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,1,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,1,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,NA,0,0.693147181
2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,NA,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0
29152,654,50,2,1172,2,1695,229,1,1,1,1,4,1,0,0,0,1,1,1,0,1,2,0.5,7.436027816,5.438079309
13600,143,1252,20,660,159,319,140,1,1,1,1,4,1,1,1,1,0,1,1,0,1,2,0.5,5.768320996,4.94875989
6499,415,89,0,1348,18,146,37,1,1,1,0,3,1,0,0,1,1,1,1,0,1,2,5,4.990432587,3.63758616
6352,334,152,1,548,19,115,1,1,1,1,0,3,1,1,1,0,1,1,1,0,1,2,0.5,4.753590191,0.693147181
6311,26,72,2,80,3,195,6,1,1,1,1,4,1,1,0,0,1,0,1,0,1,2,0.5,5.278114659,1.945910149
4589,109,84,1,239,19,81,0,1,1,1,0,3,1,1,1,1,1,1,1,0,1,2,0.5,4.406719247,0
4513,241,16,0,329,7,1,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,2,0.5,0.693147181,0
3535,133,45,3,158,7,34,1,1,1,1,0,3,1,0,1,0,1,1,1,0,1,2,0.5,3.555348061,0.693147181
3495,149,24,0,221,3,105,8,1,1,0,0,2,1,0,0,1,1,0,1,0,1,2,0.5,4.663439094,2.197224577
3386,53,148,4,133,19,76,1,1,1,1,0,3,1,1,1,0,1,0,1,0,1,2,1,4.343805422,0.693147181
3343,77,75,2,208,9,303,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,2,0.5,5.717027701,0
2851,128,63,1,243,10,30,0,1,1,1,0,3,0,1,1,0,1,1,1,0,1,2,0.5,3.433987204,0
2631,12,124,4,32,5,169,18,1,1,1,1,4,1,0,0,0,1,0,1,0,1,2,0,5.135798437,2.944438979
2579,57,39,0,104,4,45,0,1,1,1,1,4,1,0,1,0,1,0,1,0,1,2,0.5,3.828641396,0
2517,50,187,12,122,17,87,0,1,1,1,0,3,1,0,0,1,1,0,1,0,1,2,0,4.477336814,0
2230,12,100,11,28,11,71,0,1,1,1,0,3,1,0,1,0,1,0,1,0,1,2,0.5,4.276666119,0
2212,84,26,0,128,4,1,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,2,0.5,0.693147181,0
2138,39,38,0,56,3,220,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,2,0.5,5.398162702,0
2119,18,15,0,30,0,7,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0.5,2.079441542,0
1919,90,33,0,166,5,7,0,1,1,0,0,2,1,1,1,0,1,1,0,1,1,2,0.5,2.079441542,0
1876,177,40,0,243,7,3,1,1,1,1,0,3,1,0,1,0,1,0,1,0,1,2,0.5,1.386294361,0.693147181
1773,24,10,0,34,4,0,0,1,1,0,0,2,1,0,1,0,1,1,0,1,1,2,0.5,0,0
1485,9,179,11,37,9,195,0,1,1,1,1,4,1,0,1,1,1,1,1,0,1,2,0.5,5.278114659,0
1453,8,83,1,13,8,44,0,0,1,1,1,3,1,0,0,1,0,0,1,0,1,2,0,3.80666249,0
1354,49,12,0,71,1,49,0,1,1,1,0,3,1,1,1,0,1,1,1,0,1,2,0.5,3.912023005,0
1346,0,35,3,0,2,67,23,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0,4.219507705,3.17805383
1222,10,56,0,17,8,1,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0,0.693147181,0
1144,59,11,0,76,4,2,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0.5,1.098612289,0
1122,19,74,8,29,17,62,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0.5,4.143134726,0
993,32,50,0,82,7,10,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0,2.397895273,0
974,31,18,0,47,1,1,0,1,1,0,0,2,1,0,1,0,1,1,0,1,1,2,0.5,0.693147181,0
955,30,31,4,36,21,82,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,2,1,4.418840608,0
827,15,55,4,40,6,19,0,1,1,1,0,3,1,0,0,0,1,1,1,0,1,2,NA,2.995732274,0
772,21,4,0,34,1,0,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,2,0,0,0
511,5,21,0,6,3,2,0,1,1,1,1,4,1,0,0,0,1,0,1,0,1,2,0.5,1.098612289,0
481,8,12,0,10,4,138,9,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0,4.934473933,2.302585093
438,43,15,1,65,3,1,0,1,1,1,0,3,1,0,1,0,1,0,0,1,1,2,0.5,0.693147181,0
428,4,16,0,33,1,0,0,1,1,1,0,3,1,0,0,0,1,0,1,1,0,2,NA,0,0
413,2,33,1,2,4,9,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,2,1,2.302585093,0
366,4,23,2,6,1,21,0,0,1,1,0,2,1,1,0,0,1,0,1,0,1,2,0.5,3.091042453,0
364,0,17,5,0,1,11,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,2,0,2.48490665,0
295,0,5,0,0,3,0,0,1,1,1,0,3,0,1,0,0,1,1,1,0,1,2,1,0,0
261,17,1,0,24,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,0,1,2,1,0,0
230,3,15,0,21,1,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,1,2,0,0,0
209,46,0,0,117,0,36,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,0,3.610917913,0
196,4,11,0,22,4,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,2,0,0.693147181,0
190,1,10,0,6,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,1,0,2,0,0,0
183,4,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,2,0.5,0,0
180,0,8,0,2,2,1,0,0,1,1,0,2,1,1,0,0,1,0,1,0,1,2,0.5,0.693147181,0
146,6,10,0,26,6,9,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,2,0.5,2.302585093,0
143,6,7,0,20,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2,0.5,0,0
138,0,6,0,2,1,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,2,0,0,0
133,0,14,0,0,3,0,0,1,1,1,0,3,1,1,0,0,1,0,1,0,1,2,0.5,0,0
97,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0.693147181,0
93,4,2,0,7,2,0,0,1,1,0,0,2,1,1,0,0,1,0,1,0,1,2,1,0,0
79,1,12,2,5,2,4,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,2,1,1.609437912,0
67,1,7,0,15,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,0,0,0
63,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,1,0,2,NA,0,0
58,0,2,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,1,2,NA,0,0
48,0,3,1,0,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,1,1,2,1,0.693147181,0
36,1,4,0,2,0,11,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,2,0,2.48490665,0
29,0,3,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,2,0,0,0
28,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,1,1,2,0,0,0
26,0,2,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,2,0,0.693147181,0
26,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,2,0,0,0
24,2,3,0,2,0,0,0,1,1,0,0,2,1,1,0,0,1,0,1,0,1,2,0,0,0
22,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,2,0,0,0
22,0,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,1,2,1,0,0
14,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,2,NA,0,0
7,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,1,2,1,0,0
7,0,3,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,2,0,0.693147181,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,2,0.5,0,0
3,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,1,0,0,1,0,1,2,0,0,0
52986,648,0,0,1029,212,818,42,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,0,6.708084084,3.761200116
38622,887,0,0,2154,164,169,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,3,0.5,5.135798437,0.693147181
14722,245,630,47,408,85,2755,43,1,1,1,1,4,1,0,0,1,1,1,1,1,1,3,0.5,7.921535632,3.784189634
14718,550,149,1,799,14,68,0,1,1,1,1,4,1,1,1,0,1,1,1,1,1,3,0.5,4.234106505,0
9698,341,32,0,427,10,2,0,1,1,0,0,2,1,1,0,0,1,1,1,1,1,3,0.5,1.098612289,0
8723,163,376,18,281,35,524,2,1,1,1,1,4,1,1,1,0,1,0,1,1,1,3,0.5,6.263398263,1.098612289
8651,206,92,0,294,18,60,0,1,1,1,0,3,1,0,0,0,1,1,1,1,1,3,0.5,4.110873864,0
8152,249,232,6,390,22,156,3,1,1,1,1,4,1,1,1,0,1,1,1,1,1,3,0.5,5.056245805,1.386294361
7872,273,109,0,426,12,4,1,1,1,1,0,3,1,0,0,0,1,0,1,1,1,3,0,1.609437912,0.693147181
6933,320,199,4,496,19,61,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,3,0.5,4.127134385,0
6463,74,179,0,167,14,31,1,1,1,1,1,4,1,0,1,0,1,1,1,1,1,3,0,3.465735903,0.693147181
5833,98,307,5,152,47,169,2,1,1,1,1,4,1,0,0,1,1,1,1,1,1,3,0,5.135798437,1.098612289
5616,77,213,6,110,54,90,1,1,1,1,1,4,1,1,1,0,1,0,1,1,1,3,0,4.510859507,0.693147181
5591,39,204,5,53,26,57,1,1,1,1,0,3,1,1,0,0,1,1,1,1,1,3,0.5,4.060443011,0.693147181
5440,74,255,7,138,25,27,0,1,1,1,0,3,1,0,1,0,1,1,1,1,1,3,0.5,3.33220451,0
5177,23,162,4,80,17,186,0,1,1,1,1,4,1,1,0,1,1,1,1,1,1,3,0.5,5.231108617,0
4715,112,13,0,130,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,1,1,3,1,0,0
4441,19,60,2,54,7,130,0,1,1,1,1,4,1,0,0,0,1,0,1,1,1,3,0,4.875197323,0
4389,142,6,0,184,2,121,14,1,1,1,0,3,1,0,1,0,1,0,1,1,1,3,0.5,4.804021045,2.708050201
4247,19,154,3,47,24,14,0,1,1,1,0,3,1,1,0,0,1,0,1,1,1,3,0.5,2.708050201,0
4110,8,234,6,16,19,121,0,1,1,1,1,4,1,0,1,1,0,1,1,1,1,3,0,4.804021045,0
3650,14,65,2,38,1,5,3,1,1,0,0,2,1,1,1,0,1,0,1,1,1,3,0.5,1.791759469,1.386294361
3544,26,265,11,38,29,107,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,3,0.5,4.682131227,0
3538,0,58,0,0,7,66,0,1,1,1,0,3,1,0,0,0,1,1,1,1,1,3,0,4.204692619,0
2944,33,46,0,59,9,10,0,1,1,1,0,3,0,1,1,1,0,1,1,1,1,3,0.5,2.397895273,0
2835,27,196,19,59,22,199,1,1,1,1,1,4,1,1,1,1,0,1,1,1,1,3,0,5.298317367,0.693147181
2594,205,79,0,243,22,39,1,1,1,1,1,4,1,0,0,0,1,0,1,1,1,3,0.5,3.688879454,0.693147181
2237,108,37,1,176,5,22,0,1,1,0,0,2,1,0,0,0,1,1,1,1,1,3,NA,3.135494216,0
1984,18,89,7,22,7,653,0,1,1,1,1,4,1,0,0,0,1,0,1,1,1,3,0,6.483107351,0
1772,6,50,0,8,12,4,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,3,0.5,1.609437912,0
1742,72,22,0,80,28,67,0,1,1,0,0,2,0,0,1,0,1,0,1,1,1,3,0.5,4.219507705,0
1696,53,43,0,151,5,3,1,0,1,1,0,2,0,1,1,1,0,1,1,1,1,3,0.5,1.386294361,0.693147181
1648,4,36,1,12,7,5,0,1,1,1,0,3,1,1,1,0,1,0,1,1,1,3,1,1.791759469,0
1533,14,4,0,23,2,2,0,1,1,1,0,3,1,1,1,0,1,0,1,1,1,3,0.5,1.098612289,0
1386,27,26,0,39,6,38,0,1,1,1,1,4,1,0,0,0,1,1,1,1,1,3,NA,3.663561646,0
1375,26,45,3,43,7,24,0,1,1,0,0,2,1,1,1,0,1,0,1,1,1,3,NA,3.218875825,0
1364,14,7,0,27,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,1,1,3,0.5,0.693147181,0
1155,42,52,2,53,18,5,1,1,1,1,0,3,1,0,0,0,1,1,1,1,1,3,0.5,1.791759469,0.693147181
931,13,7,0,20,1,0,0,1,1,1,0,3,0,1,1,0,1,0,1,1,1,3,0.5,0,0
922,0,37,1,4,4,27,0,0,1,1,1,3,1,0,0,0,1,0,1,1,1,3,0,3.33220451,0
806,11,19,0,19,7,3,0,1,1,1,0,3,1,0,1,0,1,0,1,1,1,3,0,1.386294361,0
765,37,74,3,86,9,23,0,1,1,1,0,3,1,0,1,0,1,0,1,1,1,3,0.5,3.17805383,0
753,30,20,0,31,4,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,3,0.5,0.693147181,0
583,4,2,0,6,0,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,3,0.5,0.693147181,0
481,8,11,0,12,3,1,0,1,1,1,0,3,1,1,0,0,1,1,1,1,1,3,0.5,0.693147181,0
449,14,4,0,16,2,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,3,0,0.693147181,0
370,0,17,0,0,0,1,0,1,1,0,0,2,1,0,1,0,1,0,1,1,1,3,0,0.693147181,0
305,0,4,0,0,1,14,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,1,1,3,NA,2.708050201,0
290,0,2,0,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,3,0,0,0
288,5,1,0,5,0,0,0,1,1,0,0,2,1,1,1,0,1,0,1,1,1,3,0.5,0,0
82,1,3,0,1,0,3,0,0,1,1,0,2,1,0,1,0,1,0,1,1,1,3,0,1.386294361,0